"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"10909","火箭队(#4)","行政办公(#167)","","以文档格式导出查询结果","","1. 点击“行政办公-投票”
2. 输入查询的主题“01”和截止时间“2018.9.10-2018.9.11”
3. 点击导出查询列表，选择文档格式文件
","1. 界面跳转至投票界面
2. 设定查询限制条件
3. 导出查询列表的文档文件
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-12-04","刘宸","2018-12-05","2","",""
"10901","火箭队(#4)","行政办公(#167)","","以表格格式导出查询投票列表结果","已发起投票","1. 点击“行政办公-投票”
2. 输入查询的主题“01”和截止时间“2018.9.10-2018.9.11“
3. 点击导出查询列表，选择表格格式
","1. 界面跳转至投票界面
2. 设定查询限制条件
3. 导出查询列表的表格文件
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-12-04","刘宸","2018-12-05","2","",""
"10831","火箭队(#4)","行政办公(#167)","","在主题输入框内不输入内容，查询已发起投票","已登录投票","1. 点击“行政办公-投票
2. 在标题输入框内不输入内容
3. 点击查询
","1. 进入行政办公的投票界面
2. 设置查询的投票主题
3. 页面列出所有我参与的投票
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-12-04","","0000-00-00","1","",""
"10761","火箭队(#4)","行政办公(#167)","","填写全部选项，设置20个选项为发起投票","已登录用户","1. 点击“行政办公-投票-发起投票” 
2. 在投票列表的主题输入框输入“05“ 
3. 添加写描述信息
4. 选择投票人员 
5. 选择投票的截止日期
6. 设置20个投票选项
7. 	
点击保存
","1. 进入行政办公的投票界面
2. 投票主题设置为05
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止日期
6. 投票活动已添加投票选项
7. 发起投票失败，页面提示：不能设置超过10个选项
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","","0000-00-00","1","",""
"10758","火箭队(#4)","行政办公(#167)",""," 填写全部选项，设置数字选项发起投票","已登录用户","1. 点击“行政办公-投票-发起投票” 
2. 在投票列表的主题输入框输入“05“ 
3. 添加写描述信息
4. 选择投票人员 
5. 选择投票的截止日期
6. 设置数字投票选项
7. 点击保存
","1. 进入行政办公的投票界面
2. 投票主题设置为05
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止日期
6. 投票活动已添加投票选项
7. 发起投票成功，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","","0000-00-00","1","",""
"10755","火箭队(#4)","行政办公(#167)","","填写全部选项，设置中文选项为发起投票","已登录用户","1. 点击“行政办公-投票-发起投票” 
2. 在投票列表的主题输入框输入“05“ 
3. 添加写描述信息
4. 选择投票人员 
5. 选择投票的截止日期
6. 设置中文投票选项
7. 点击保存
","1. 进入行政办公的投票界面
2. 投票主题设置为05
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止日期
6. 投票活动已添加投票选项
7. 发起投票成功，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","","0000-00-00","1","",""
"10747","火箭队(#4)","行政办公(#167)","","填写全部选项，选择公司外部人员发起投票","已登录用户","1. 点击“行政办公-投票-发起投票 
2. ”在投票列表的主题输入框输入“04“ 
3. 添加写描述信息
4. 选择投票的截止日期 
5. 设置投票选项
6. 选择公司外部人员为投票人员
7. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为04
3. 投票活动已添加描述信息
4. 投票活动已添加截止日期
5. 投票活动已添加投票选项
6. 投票活动已添加公司外部人员
7. 发起投票失败，页面提示：投票人员不能为公司外部人员
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","刘宸","2018-12-04","1","",""
"10739","火箭队(#4)","行政办公(#167)",""," 填写全部选项，描述信息输入1000个字符发起投票","已登录用户","1. 点击“行政办公-投票-发起投票”
2. 投票列表的主题输入框输入“03“
3. 	
选择投票人员
4. 选择投票的截止日期 
5. 	
设置投票选项 
6. 在描述选项栏输入1000个字符
7. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为03
3. 投票活动已添加投票人员
4. 投票活动已添加截止日期
5. 投票活动已添加投票选项
6. 投票活动已添加描述
7. 成功发起以03为主题的投票活动，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","刘宸","2018-12-04","1","",""
"10734","火箭队(#4)","行政办公(#167)","","填写全部选项，描述信息输入一个字符发起投票","已登录用户","1. 	
点击“行政办公-投票-发起投票”
2. 投票列表的主题输入框输入“02“
3. 	
选择投票人员
4. 选择投票的截止日期 
5. 设置投票选项 
6. 在描述选项栏输入“一”
7. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为02
3. 投票活动已添加投票人员
4. 投票活动已添加截止日期
5. 投票活动已添加投票选项
6. 投票活动已添加描述
7. 成功发起以02为主题的投票活动，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","刘宸","2018-12-04","1","",""
"10725","火箭队(#4)","行政办公(#167)","","填写全部选项，主题为中文发起投票","已登录用户","1. 	
点击“行政办公-投票-发起投票” 
2. 在投票列表的主题输入框输入“一“ 
3. 添加写描述信息
4. 选择投票人员
5. 	
选择投票的截止日期 
6. 	
设置投票选项 
7. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为一
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止时间
6. 投票活动已设置投票选项
7. 成功发起以一为主题的投票活动，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","刘宸","2018-12-04","1","",""
"9928","火箭队(#4)","行政办公(#167)","","填写用非法日期创建发起投票","已登录用户","1. 点击“行政办公-投票-发起投票”

2. 在投票列表的主题输入框输入“06“
3. 添加写描述信息
	
4. 选择投票人员
5. 设置投票选项
6. 设置日期为2018.11.31
7. 点击保存
","1. 进入行政办公的投票界面提示
2. 设置投票主题为06
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动添加投票选项
6. 投票活动日期设置为2018.11.31
7. 发起投票失败，页面提示：请选择正确的日期
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-11-28","","0000-00-00","1","",""
"9859","火箭队(#4)","行政办公(#167)","","创建没有名称的会议室","已登录管理员账户","1. 点击“行政办公-会议室设置“
2. 不填写会议室名称
3. 点击保存
","1. 页面跳转至会议室设置界面
2. 设置没有名称的会议室
3. 创建会议室失败，页面提示：会议室名称不能为空
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-11-28","","0000-00-00","1","",""
"8836","火箭队(#4)","行政办公(#167)","","创建以“123”为名称的会议室","已登录用户","1. 点击“行政办公-会议室设置“ 
2. 填写会议室名称“123”
3. 点击保存
","1. 页面跳转至会议室设置页面
2. 设置会议室名称为123
3. 创建会议室成功，页面提示：会议室信息操作成功
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-11-27","刘宸","2018-11-28","2","",""
"8781","火箭队(#4)","行政办公(#167)","","查询我参与的主题为汉字的投票活动","已发起投票活动","1. 点击“行政办公-投票
2. 在标题输入框内输入中文主题
3. 点击查询
","1. 进入行政办公的投票界面
2. 设置查询的投票主题
3. 页面列出所有我参与的中文主题投票
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-11-27","刘宸","2018-12-04","3","",""
"8780","火箭队(#4)","行政办公(#167)","","删除所有投票后再查询我发起的投票","已发起投票活动","1. 点击“行政办公-投票
2. 删除所有发起的投票
3. 点击查询我发起的投票
","1. 进入行政办公的投票界面
2. 所有发起的投票被清空
3.  页面列出结果为空
","1. 
2. 
3. 
","","3","功能测试","","正常","0","1","3","失败","刘宸","2018-11-27","刘宸","2018-12-05","4","",""
"8779","火箭队(#4)","行政办公(#167)","","输入框不输入内容查询所有已结束的投票","已发起投票活动","1. 点击“行政办公-投票
2. 主题输入框不输入内容
3. 点击已结束投票，查询
","1. 进入行政办公的投票界面
2. 主题设置条件为空
3. 页面列出所有已结束的投票活动
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-11-27","刘宸","2018-12-04","3","",""
"8778","火箭队(#4)","行政办公(#167)","","主题输入不存在的主题内容查询进行中的投票","已发起投票活动","1. 点击“行政办公-投票
2. 在输入框输入不存在的标题
3. 点击查询
","1. 进入行政办公的投票界面
2. 查询的主题为空
3. 页面列出查询结果为空
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-11-27","刘宸","2018-12-04","3","",""
"8777","火箭队(#4)","行政办公(#167)","","勾选已有的投票清理数据","已发起投票活动","1. 点击“行政办公-投票-投票列表”
2. 勾选想要清理的投票活动 
3. 点击清理数据
","1. 进入行政办公的投票界面
2. 想被清理的数据已被勾选
3. 清理已选择的数据，页面提示：投票信息删除成功
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-11-27","刘宸","2018-11-28","2","",""
"8776","火箭队(#4)","行政办公(#167)","","填写不存在的发布日期查询投票","已发起投票活动","1. 点击“行政办公-投票-投票列表
2. 发布日期输入框输入不存在的发布日期2018年11月31日 
3. 点击查询
","1. ”进入行政办公的投票界面
2. 日期设置为2018.11.31
3.  页面未查询到结果，页面提示：查询失败
","1. 
2. 
3. 
","","3","功能测试","","正常","0","1","3","失败","刘宸","2018-11-27","刘宸","2018-11-28","2","",""
"8775","火箭队(#4)","行政办公(#167)","","填写已存在的发布日期查询投票","已发起投票活动，存在截止日期为2018.11.27的投票","1. 点击“行政办公-投票-投票列表
2. 发布日期输入框输入已有的发布日期2018.11.27
3. 点击查询
","1. 进入行政办公的投票界面
2. 日期设置为2018.11.27
3. 页面列出对应发布日期的投票活动
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-11-27","刘宸","2018-11-28","2","",""
"8774","火箭队(#4)","行政办公(#167)","","填写不存在的主题查询投票","已发起投票活动，不存在03主题的投票活动","1. 点击“行政办公-投票-投票列表” 
2. 主题输入框输入不存在的主题 “03”
3. 点击查询
","1. 进入行政办公的投票界面页面未查询到结果
2. 设置查找的投票主题为03
3. 页面提示：查询失败
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-11-27","刘宸","2018-11-28","2","",""
"8773","火箭队(#4)","行政办公(#167)","","填写已存在的主题查询投票","已发起投票活动，已存在以01为主题的投票活动","1. 点击“行政办公-投票-投票列表”
2. 主题输入框输入已有的主题 01的投票活动
3. 点击查询
","1. 进入行政办公的投票界面
2. 设置查询的投票主题为01
3. 页面列出对应主题的投票活动
","1. 
2. 
3. 
","","3","功能测试","","正常","0","1","3","失败","刘宸","2018-11-27","刘宸","2018-11-28","2","",""
"8772","火箭队(#4)","行政办公(#167)","","填写全部选项，不设置投票发起投票","已登录用户","1. 点击“行政办公-投票-发起投票”  
2. 在投票列表的主题输入框输入“05“ 
3. 添加写描述信息”哈哈哈哈”
4. 选择投票人员  “天生创想公司内部人员”
5. 选择投票的截止日期“2018.9.10-2018.9.11”
6. 点击保存
","1. 进入行政办公的投票界面
2. 投票主题设置为05
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止日期
6. 发起投票失败，页面提示：选项不能为空
","","","3","功能测试","","正常","0","1","6","通过","刘宸","2018-11-27","刘宸","2018-12-05","3","",""
"8771","火箭队(#4)","行政办公(#167)","","填写除截止日期以外的选项发起投票","已登录用户","1. 点击“行政办公-投票-发起投票”
2. 在投票列表的主题输入框输入“04“  
3. 添加写描述信息“哈哈哈哈“
4. 选择投票人员“天生创想公司员工”
5. 设置一个投票选项 
6. 点击保存
","1. 进入行政办公的投票界面提示
2. 设置投票主题为04
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动添加投票选项
6. 发起投票失败，页面提示：截止日期不能为空
","1. 
2. 
3. 
4. 
5. 
6. 
","","3","功能测试","","正常","0","1","6","失败","刘宸","2018-11-27","刘宸","2018-12-05","3","",""
"8770","火箭队(#4)","行政办公(#167)","","填写全部选项，不选择投票人员发起投票","已登录用户","1. 点击“行政办公-投票-发起投票  
2. ”在投票列表的主题输入框输入“03“ 
3. 添加写描述信息“啊哈哈哈哈“
4. 选择投票的截止日期 “2018.9.10-2018.9.11”
5. 设置一个投票选项
6. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为03
3. 投票活动已添加描述信息
4. 投票活动已添加截止日期
5. 投票活动已添加投票选项
6. 发起投票失败，页面提示：投票人员不能为空
","","","3","功能测试","","正常","0","1","6","通过","刘宸","2018-11-27","刘宸","2018-12-05","3","",""
"8769","火箭队(#4)","行政办公(#167)","","填写全部选项，主题为空发起投票","已登录用户","1. 点击“行政办公-投票-发起投票”      
2.  添加写描述信息“哈哈哈哈哈”
3. 选择投票人员“天生创想公司内部人员”
4. 选择投票的截止日期“2018.9.10-2018.9.11”
5. 设置一个投票选项
6. 点击保存
","1. 进入行政办公的投票界面 
2. 投票活动已添加描述信息
3. 投票活动已添加投票人员
4. 投票活动已添加截止日期
5. 投票活动已添加投票选项
6. 发起投票失败，页面提示：主题不能为空
","","","3","功能测试","","正常","0","1","6","通过","刘宸","2018-11-27","刘宸","2018-12-05","3","",""
"8768","火箭队(#4)","行政办公(#167)","","填写全部选项，描述信息为空发起投票","已登录用户","1. 点击“行政办公-投票-发起投票”
2. 投票列表的主题输入框输入“02“
3. 选择投票人员“天生创想公司内部人员”
4. 选择投票的截止日期 “2018.9.10-2018.9.11”
5. 设置一个投票选项  
6. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为02
3. 投票活动已添加投票人员
4. 投票活动已添加截止日期
5. 投票活动已添加投票选项
6. 成功发起以02为主题的投票活动，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","6","通过","刘宸","2018-11-27","刘宸","2018-12-05","3","",""
"8767","火箭队(#4)","行政办公(#167)","","填写全部选项，主题为数字发起投票","已登录用户","1. 点击“行政办公-投票-发起投票” 
2. 在投票列表的主题输入框输入“01“ 
3. 添加写描述信息“哈哈哈哈”
4. 选择投票人员“天生创想公司内部人员”
5. 选择投票的截止日期  “2018.9.10-2018.9.11”
6. 设置一个投票选项 
7. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为01
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止时间
6. 投票活动已设置投票选项
7. 成功发起以01为主题的投票活动，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-11-27","刘宸","2018-12-05","3","",""
